player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
665700%,DP Conway,Left hand Bat,Right arm Medium,Occasional Wicketkeeper,Devon Philip Conway,Devon Philip,
1324500%,DP Nannes,Right hand Bat,Left arm Fast, ,Dirk Peter Nannes,Dirk Peter,
1236900%,DP Vijaykumar,Right hand Bat,Right arm Medium, ,David Paidikalva Vijaykumar,David Paidikalva,
1203200%,DPMD Jayawardene,Right hand Bat,Right arm Medium, ,Denagamage Proboth Mahela de Silva Jayawardene,Denagamage Proboth,
1464900%,DR Martyn,Right hand Bat,Right arm Medium, ,Damien Richard Martyn,Damien Richard,
432000%,DR Sams,Right hand Bat,Left arm Fast medium, ,Daniel Richard Sams,Daniel Richard,
213800%,DR Shorey,Right hand Bat,Right arm Offbreak, ,Dhruv Ranjan Shorey,Dhruv Ranjan,
5000%,DR Smith,Right hand Bat,Right arm Medium, ,Dwayne Romel Smith,Dwayne Romel,
5400%,DS Kulkarni,Right hand Bat,Right arm Medium, ,Dhawal Sunil Kulkarni,Dhawal Sunil,
1196700%,DS Lehmann,Left hand Bat,Slow Left arm Orthodox, ,Darren Scott Lehmann,Darren Scott,
1183300%,DS Rathi,Right hand Bat,Legbreak,NULL,Digvesh Singh Rathi,Digvesh Singh,https://www.espncricinfo.com/cricketers/digvesh-rathi-1460529
16100%,DT Christian,Right hand Bat,Right arm Fast medium, ,Daniel Trevor Christian,Daniel Trevor,
1246500%,DT Patil,Right hand Bat, ,Wicketkeeper,Devraj Thyagaraj Patil,Devraj Thyagaraj,
345100%,DW Steyn,Right hand Bat,Right arm Fast, ,Dale Willem Steyn,Dale Willem,
137700%,E Lewis,Left hand Bat, , ,Evin Lewis,Evin Lewis,
4213300%,E Malinga,Left hand Bat,Right arm Fast medium,NULL,Kiribathgala Kankanamalage Eshan Malinga Dharmasena,Kiribathgala Kankanamalage,
40000%,EJG Morgan,Left hand Bat,Right arm Medium,Occasional Wicketkeeper,Eoin Joseph Gerard Morgan,Eoin Joseph,
4128600%,ER Dwivedi,Right hand Bat, ,Wicketkeeper,Eklavya Rakesh Dwivedi,Eklavya Rakesh,
4102000%,F Behardien,Right hand Bat,Right arm Fast medium, ,Farhaan Behardien,Farhaan Behardien,
26700%,F du Plessis,Right hand Bat,Legbreak, ,Francois du Plessis,Francois du,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Faf%20Du%20Plessis.png
562900%,FA Allen,Right hand Bat,Slow Left arm Orthodox, ,Fabian Anthony Allen,Fabian Anthony,
784300%,Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium, ,Fazalhaq Farooqi,Fazalhaq Farooqi,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175
1327100%,FH Edwards,Right hand Bat,Right arm Fast, ,Fidel Henderson Edwards,Fidel Henderson,
1472600%,FY Fazal,Left hand Bat,Right arm Medium, ,Faiz Yakub Fazal,Faiz Yakub,
